time, ts, count, type
2012-11-02 18:11:00,1351879860,2,fake
2012-11-02 18:16:00,1351880160,4,fake
2012-11-02 18:21:00,1351880460,1,fake
2012-11-02 18:26:00,1351880760,2,fake
2012-11-02 18:31:00,1351881060,2,fake
2012-11-02 18:36:00,1351881360,5,fake
2012-11-02 18:41:00,1351881660,1,fake
2012-11-02 18:46:00,1351881960,3,fake
2012-11-02 18:51:00,1351882260,0,fake
2012-11-02 18:56:00,1351882560,2,fake
2012-11-02 19:01:00,1351882860,0,fake
2012-11-02 19:06:00,1351883160,1,fake
2012-11-02 19:11:00,1351883460,0,fake
2012-11-02 19:16:00,1351883760,0,fake
2012-11-02 19:21:00,1351884060,0,fake
2012-11-02 19:26:00,1351884360,1,fake
2012-11-02 19:31:00,1351884660,0,fake
2012-11-02 19:36:00,1351884960,2,fake
2012-11-02 19:41:00,1351885260,0,fake
2012-11-02 19:46:00,1351885560,0,fake
2012-11-02 19:51:00,1351885860,2,fake
2012-11-02 19:56:00,1351886160,0,fake
2012-11-02 20:01:00,1351886460,0,fake
2012-11-02 20:06:00,1351886760,0,fake
2012-11-02 20:11:00,1351887060,0,fake
2012-11-02 20:16:00,1351887360,0,fake
2012-11-02 20:21:00,1351887660,0,fake
2012-11-02 20:26:00,1351887960,0,fake
2012-11-02 20:31:00,1351888260,0,fake
2012-11-02 20:36:00,1351888560,0,fake
2012-11-02 20:41:00,1351888860,0,fake
2012-11-02 20:46:00,1351889160,0,fake
2012-11-02 20:51:00,1351889460,0,fake
2012-11-02 20:56:00,1351889760,0,fake
2012-11-02 21:01:00,1351890060,0,fake
2012-11-02 21:06:00,1351890360,0,fake
2012-11-02 21:11:00,1351890660,0,fake
2012-11-02 21:16:00,1351890960,0,fake
2012-11-02 21:21:00,1351891260,0,fake
2012-11-02 21:26:00,1351891560,0,fake
2012-11-02 21:31:00,1351891860,0,fake
2012-11-02 21:36:00,1351892160,1,fake
2012-11-02 21:41:00,1351892460,0,fake
2012-11-02 21:46:00,1351892760,0,fake
2012-11-02 21:51:00,1351893060,0,fake
2012-11-02 21:56:00,1351893360,0,fake
2012-11-02 22:01:00,1351893660,0,fake
2012-11-02 22:06:00,1351893960,0,fake
2012-11-02 22:11:00,1351894260,0,fake
2012-11-02 22:16:00,1351894560,0,fake
2012-11-02 22:21:00,1351894860,0,fake
2012-11-02 22:26:00,1351895160,0,fake
2012-11-02 18:34:00,1351881240,7,robocall_disregard
2012-11-02 18:39:00,1351881540,2,robocall_disregard
2012-11-02 18:44:00,1351881840,1,robocall_disregard
2012-11-02 18:49:00,1351882140,1,robocall_disregard
2012-11-02 18:54:00,1351882440,1,robocall_disregard
2012-11-02 18:59:00,1351882740,0,robocall_disregard
2012-11-02 19:04:00,1351883040,0,robocall_disregard
2012-11-02 19:09:00,1351883340,1,robocall_disregard
2012-11-02 19:14:00,1351883640,0,robocall_disregard
2012-11-02 19:19:00,1351883940,0,robocall_disregard
2012-11-02 19:24:00,1351884240,0,robocall_disregard
2012-11-02 19:29:00,1351884540,0,robocall_disregard
2012-11-02 19:34:00,1351884840,0,robocall_disregard
2012-11-02 19:39:00,1351885140,0,robocall_disregard
2012-11-02 17:58:00,1351879080,3,robocall_restored
2012-11-02 18:03:00,1351879380,4,robocall_restored
2012-11-02 18:08:00,1351879680,7,robocall_restored
2012-11-02 18:13:00,1351879980,10,robocall_restored
2012-11-02 18:18:00,1351880280,1,robocall_restored
2012-11-02 18:23:00,1351880580,1,robocall_restored
